startTime=[2020-11-7 10:25:19:459] cbRatio=1.2 reelRatio=1.6 pfRatio=4.44 fhRatio=3.94
format:time carvl carvw cbv cbvNew cbI reelv reelvNew reelI pfv pfvNew pfI fhv fhvNew fhI
[2020-11-7 10:25:19:459] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:459] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:459] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:459] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:459] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:459] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:459] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:459] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:459] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:460] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:461] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:471] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:471] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:471] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:471] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:471] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:471] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:471] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:477] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:477] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:477] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:477] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:477] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:478] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:482] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:482] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:482] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:482] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:482] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:482] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:482] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:486] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:486] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:486] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:486] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:486] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:486] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:486] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:494] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:494] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:494] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:494] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
[2020-11-7 10:25:19:494] 0.000 0.000 0 787 0.000 0 656 0.000 0 787 0.000 0 909 0.000
