startTime=[2020-7-2 17:30:25:636] cbRatio=1.2 reelRatio=1.6 pfRatio=4.44 fhRatio=3.94
format:time carvl carvw cbv cbvNew cbI reelv reelvNew reelI pfv pfvNew pfI fhv fhvNew fhI
[2020-7-2 17:30:25:636] 1.500 0.000 0 787 167.095 0 656 0.620 0 787 2.987 0 909 0.395
[2020-7-2 17:30:26:466] 1.500 0.000 0 3000 167.062 0 2335 0.613 0 2805 2.976 0 3000 0.438
[2020-7-2 17:30:27:296] 1.500 0.000 0 3000 167.121 0 2335 0.620 0 2805 2.963 0 3000 0.392
[2020-7-2 17:30:28:126] 1.500 0.000 0 3000 167.049 0 2335 0.620 0 2805 2.969 0 3000 0.446
[2020-7-2 17:30:28:957] 1.500 0.000 0 3000 167.080 0 2335 0.559 0 2805 2.974 0 3000 0.459
[2020-7-2 17:30:29:787] 1.500 0.000 0 3000 167.028 0 2335 0.615 0 2805 2.946 0 3000 0.464
[2020-7-2 17:30:30:617] 1.500 0.000 0 3000 167.090 0 2335 0.602 0 2805 2.984 0 3000 0.413
[2020-7-2 17:30:31:447] 1.500 0.000 0 3000 167.093 0 2335 0.620 0 2805 2.953 0 3000 0.438
[2020-7-2 17:30:32:277] 1.500 0.000 0 3000 167.085 0 2335 0.582 0 2805 2.979 0 3000 0.459
[2020-7-2 17:30:33:108] 1.500 0.000 0 3000 167.059 0 2335 0.628 0 2805 2.971 0 3000 0.405
[2020-7-2 17:30:33:938] 1.500 0.000 0 3000 167.090 0 2335 0.600 0 2805 2.958 0 3000 0.443
[2020-7-2 17:30:34:768] 1.500 0.000 0 3000 167.098 0 2335 0.584 0 2805 2.938 0 3000 0.461
[2020-7-2 17:30:35:598] 1.500 0.000 0 3000 167.082 0 2335 0.618 0 2805 2.953 0 3000 0.472
[2020-7-2 17:30:36:429] 1.500 0.000 0 3000 167.087 0 2335 0.620 0 2805 2.953 0 3000 0.443
[2020-7-2 17:30:37:259] 1.500 0.000 0 3000 167.075 0 2335 0.602 0 2805 2.976 0 3000 0.428
[2020-7-2 17:30:38:89] 1.500 0.000 0 3000 167.082 0 2335 0.618 0 2805 2.961 0 3000 0.428
[2020-7-2 17:30:38:919] 1.500 0.000 0 3000 167.051 0 2335 0.541 0 2805 2.961 0 3000 0.490
[2020-7-2 17:30:39:766] 1.500 0.000 0 3000 167.113 0 2335 0.584 0 2805 2.920 0 3000 0.497
[2020-7-2 17:30:40:596] 1.500 0.000 0 3000 167.100 0 2335 0.579 0 2805 2.976 0 3000 0.446
[2020-7-2 17:30:41:427] 1.500 0.000 0 3000 167.075 0 2335 0.587 0 2805 2.935 0 3000 0.443
[2020-7-2 17:30:42:257] 1.500 0.000 0 3000 167.051 0 2335 0.595 0 2805 2.953 0 3000 0.461
[2020-7-2 17:30:43:87] 1.500 0.000 0 3000 167.075 0 2335 0.582 0 2805 2.979 0 3000 0.438
[2020-7-2 17:30:43:918] 1.500 0.000 0 3000 167.044 0 2335 0.620 0 2805 2.946 0 3000 0.456
[2020-7-2 17:30:44:748] 1.500 0.000 0 3000 167.041 0 2335 0.605 0 2805 2.979 0 3000 0.426
[2020-7-2 17:30:45:578] 1.500 0.000 0 3000 167.085 0 2335 0.590 0 2805 2.979 0 3000 0.428
[2020-7-2 17:30:46:408] 1.500 0.000 0 3000 167.077 0 2335 0.651 0 2805 2.963 0 3000 0.433
[2020-7-2 17:30:47:238] 1.500 0.000 0 3000 167.105 0 2335 0.631 0 2805 2.946 0 3000 0.449
[2020-7-2 17:30:48:69] 1.500 0.000 0 3000 167.072 0 2335 0.728 0 2805 2.953 0 3000 0.456
[2020-7-2 17:30:48:899] 1.500 0.000 0 3000 167.103 0 2335 0.646 0 2805 2.933 0 3000 0.413
[2020-7-2 17:30:49:729] 1.500 0.000 0 3000 167.108 0 2335 0.667 0 2805 2.961 0 3000 0.431
[2020-7-2 17:30:50:559] 1.500 0.000 0 3000 167.039 0 2335 0.674 0 2805 2.963 0 3000 0.441
[2020-7-2 17:30:51:390] 1.500 0.000 0 3000 167.062 0 2335 0.643 0 2805 2.940 0 3000 0.508
[2020-7-2 17:30:52:220] 1.500 0.000 0 3000 167.046 0 2335 0.597 0 2805 2.971 0 3000 0.485
[2020-7-2 17:30:53:50] 1.500 0.000 0 3000 167.057 0 2335 0.669 0 2805 2.953 0 3000 0.467
[2020-7-2 17:30:53:880] 1.500 0.000 0 3000 167.069 0 2335 0.664 0 2805 2.981 0 3000 0.467
[2020-7-2 17:30:54:711] 1.500 0.000 0 3000 167.090 0 2335 0.661 0 2805 2.981 0 3000 0.490
[2020-7-2 17:30:55:541] 1.500 0.000 0 3000 167.075 0 2335 0.618 0 2805 2.984 0 3000 0.418
[2020-7-2 17:30:56:783] 1.500 0.000 0 3000 167.116 0 2335 0.656 0 2805 2.956 0 3000 0.456
[2020-7-2 17:30:57:613] 1.500 0.000 0 3000 167.090 0 2335 0.631 0 2805 2.935 0 3000 0.446
[2020-7-2 17:30:58:443] 1.500 0.000 0 3000 167.098 0 2335 0.646 0 2805 2.917 0 3000 0.392
[2020-7-2 17:30:59:274] 1.500 0.000 0 3000 167.013 0 2335 0.608 0 2805 2.943 0 3000 0.449
[2020-7-2 17:31:0:104] 1.500 0.000 0 3000 167.072 0 2335 0.626 0 2805 2.953 0 3000 0.467
[2020-7-2 17:31:0:934] 1.500 0.000 0 3000 167.072 0 2335 0.633 0 2805 2.933 0 3000 0.451
[2020-7-2 17:31:1:765] 1.500 0.000 0 3000 167.067 0 2335 0.610 0 2805 2.979 0 3000 0.469
[2020-7-2 17:31:2:596] 1.500 0.000 0 3000 167.064 0 2335 0.697 0 2805 2.969 0 3000 0.461
[2020-7-2 17:31:3:426] 1.500 0.000 0 3000 166.993 0 2335 0.659 0 2805 2.958 0 3000 0.428
[2020-7-2 17:31:4:256] 1.500 0.000 0 3000 167.051 0 2335 0.605 0 2805 2.935 0 3000 0.467
[2020-7-2 17:31:5:505] 1.500 0.000 0 3000 167.085 0 2335 0.605 0 2805 2.963 0 3000 0.479
[2020-7-2 17:31:6:748] 1.500 0.000 0 3000 167.028 0 2335 0.667 0 2805 2.966 0 3000 0.485
[2020-7-2 17:31:7:578] 1.500 0.000 0 3000 167.069 0 2335 0.602 0 2805 2.969 0 3000 0.490
[2020-7-2 17:31:8:408] 1.500 0.000 0 3000 167.090 0 2335 0.577 0 2805 2.958 0 3000 0.472
[2020-7-2 17:31:9:238] 1.500 0.000 0 3000 167.067 0 2335 0.613 0 2805 2.969 0 3000 0.441
[2020-7-2 17:31:10:68] 1.500 0.000 0 3000 167.085 0 2335 0.636 0 2805 2.935 0 3000 0.485
[2020-7-2 17:31:10:899] 1.500 0.000 0 3000 167.069 0 2335 0.659 0 2805 2.997 0 3000 0.441
[2020-7-2 17:31:11:729] 1.500 0.000 0 3000 167.023 0 2335 0.649 0 2805 2.981 0 3000 0.510
